what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1676471443067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471444410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471446944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471450225
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1676471450726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471453867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471459383
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1676471461024
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471466962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471469649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471472463
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1676471473385
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471479698
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471485669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1676471486356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1676471486747
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471487952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471489952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471492062
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1676471492077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1676471492077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471503394
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1676471506942
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1676471507160
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1676471510942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471522022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1676471522053
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471522975
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471539587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471540916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471548182
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1676471548198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1676471548198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471548682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1676471549557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471551651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471553386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471556292
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1676471558011
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1676471558980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471559480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1676471559949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1676471560386
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471561762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471562996
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471564607
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1676471564654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471564825
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1676471564841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1676471564841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471567091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471568373
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1676471568388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1676471568388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471569263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471582925
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1676471585472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471586785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471620869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471626322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471637636
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471640387
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471640496
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471641074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471643200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471664484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471665078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471669204
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471671064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1676471671954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1676471672611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1676471673689
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471675049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471676862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471681159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471692147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471695085
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1676471695585
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1676471699055
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1676471699524
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1676471707224
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1676471718678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471737883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471760777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1676471771403
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1676471773231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471775840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471780153
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1676471780591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471781638
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1676471783951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471784436
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1676471784436
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1676471792226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676471909613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676472460747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676472551915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676472553462
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1676472553681
